epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
132,8.39e-09,25.184855,3.209572,25.184856,0.963968,3.471861,28.908825,0.957787,3.482762,30.041010,0.956332
133,8.39e-09,26.277327,3.287014,26.277327,0.962405,3.470199,28.892515,0.957811,3.482134,30.025208,0.956355
134,8.39e-09,25.237521,3.262259,25.237522,0.963893,3.470602,28.897339,0.957804,3.482245,30.028826,0.956350
135,8.39e-09,25.438764,3.255146,25.438765,0.963605,3.471551,28.907181,0.957790,3.482572,30.037598,0.956337
136,8.39e-09,24.972638,3.201696,24.972637,0.964272,3.472001,28.911858,0.957783,3.482730,30.041750,0.956331
137,8.39e-09,25.568777,3.238881,25.568777,0.963419,3.471740,28.909441,0.957786,3.482614,30.039093,0.956335
138,8.39e-09,25.476921,3.255352,25.476919,0.963550,3.472688,28.919153,0.957772,3.482957,30.047712,0.956322
139,8.39e-09,24.624673,3.196823,24.624674,0.964769,3.471702,28.908978,0.957787,3.482618,30.038540,0.956336
140,8.39e-09,25.243920,3.231601,25.243919,0.963883,3.469628,28.888142,0.957817,3.481862,30.019093,0.956364
141,8.39e-09,25.876563,3.264897,25.876564,0.962978,3.469049,28.882502,0.957826,3.481622,30.013357,0.956372
142,8.39e-09,25.642613,3.284325,25.642614,0.963313,3.470474,28.897007,0.957805,3.482142,30.026703,0.956353
143,8.39e-09,25.032062,3.229733,25.032063,0.964186,3.469561,28.888027,0.957818,3.481819,30.018219,0.956365
144,8.39e-09,24.826885,3.232641,24.826883,0.964480,3.470822,28.900702,0.957799,3.482276,30.029989,0.956348
145,8.39e-09,25.652200,3.285855,25.652201,0.963299,3.470647,28.899172,0.957801,3.482176,30.028227,0.956351
146,8.39e-09,25.869008,3.306503,25.869009,0.962989,3.472053,28.913837,0.957780,3.482639,30.040890,0.956332
147,8.39e-09,25.634566,3.284200,25.634565,0.963324,3.472005,28.913050,0.957781,3.482647,30.040623,0.956333
148,8.39e-09,25.828912,3.250933,25.828913,0.963046,3.471765,28.911070,0.957784,3.482509,30.037903,0.956337
149,8.39e-09,25.358131,3.250463,25.358131,0.963720,3.471396,28.907303,0.957789,3.482368,30.034376,0.956342
150,8.39e-09,25.395650,3.235374,25.395651,0.963666,3.470595,28.899408,0.957801,3.482071,30.026926,0.956353
