epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
100,8.39e-09,18.343688,2.794674,18.343687,0.973756,3.363151,26.965172,0.960625,3.265304,27.608974,0.959867
101,8.39e-09,17.459121,2.713042,17.459122,0.975021,3.363269,26.967216,0.960622,3.265415,27.610762,0.959865
102,8.39e-09,17.359275,2.687153,17.359276,0.975164,3.362519,26.957785,0.960636,3.264763,27.600224,0.959880
103,8.39e-09,18.215660,2.740895,18.215662,0.973939,3.362234,26.953165,0.960643,3.264406,27.594601,0.959888
104,8.39e-09,18.005884,2.736985,18.005884,0.974239,3.362449,26.956650,0.960638,3.264634,27.598370,0.959883
105,8.39e-09,18.340512,2.744738,18.340511,0.973760,3.362211,26.954075,0.960642,3.264442,27.595278,0.959887
106,8.39e-09,17.386466,2.677751,17.386465,0.975125,3.362216,26.953785,0.960642,3.264431,27.595617,0.959887
107,8.39e-09,17.172696,2.666132,17.172695,0.975431,3.363247,26.965870,0.960624,3.265292,27.609217,0.959867
108,8.39e-09,17.130008,2.638950,17.130007,0.975492,3.363047,26.963219,0.960628,3.265088,27.606415,0.959871
109,8.39e-09,17.500411,2.705508,17.500410,0.974962,3.363129,26.964588,0.960626,3.265188,27.607889,0.959869
110,8.39e-09,17.893701,2.709289,17.893702,0.974399,3.363855,26.973476,0.960613,3.265805,27.617725,0.959855
111,8.39e-09,17.976644,2.707964,17.976645,0.974281,3.364058,26.976435,0.960609,3.266061,27.621750,0.959849
112,8.39e-09,18.256878,2.755781,18.256878,0.973880,3.361981,26.951717,0.960645,3.264308,27.593613,0.959890
113,8.39e-09,17.463644,2.687344,17.463644,0.975015,3.362586,26.959679,0.960633,3.264868,27.602493,0.959877
114,8.39e-09,17.560995,2.671534,17.560995,0.974875,3.361324,26.944988,0.960655,3.263812,27.585478,0.959902
115,8.39e-09,16.988821,2.650758,16.988823,0.975694,3.362734,26.963051,0.960629,3.265102,27.605955,0.959872
116,8.39e-09,17.428667,2.669658,17.428669,0.975065,3.362966,26.965500,0.960625,3.265289,27.609200,0.959867
117,8.39e-09,18.125305,2.745519,18.125305,0.974068,3.363174,26.968220,0.960621,3.265484,27.612196,0.959863
118,8.39e-09,18.416510,2.783871,18.416510,0.973651,3.363529,26.972130,0.960615,3.265766,27.616669,0.959856
119,8.39e-09,18.183098,2.764895,18.183098,0.973985,3.362668,26.961596,0.960631,3.265003,27.604477,0.959874
120,8.39e-09,17.460661,2.706667,17.460659,0.975019,3.362968,26.965149,0.960625,3.265224,27.607840,0.959869
121,8.39e-09,17.687751,2.710829,17.687752,0.974694,3.362597,26.961563,0.960631,3.264948,27.603371,0.959876
122,8.39e-09,17.803969,2.748496,17.803970,0.974528,3.359750,26.926308,0.960682,3.262442,27.563135,0.959934
123,8.39e-09,18.298713,2.776424,18.298714,0.973820,3.358947,26.916569,0.960696,3.261721,27.552273,0.959950
124,8.39e-09,18.418778,2.719437,18.418777,0.973648,3.359943,26.928257,0.960679,3.262555,27.565475,0.959931
125,8.39e-09,18.211504,2.720674,18.211504,0.973945,3.360291,26.933765,0.960671,3.262899,27.571415,0.959922
126,8.39e-09,17.476807,2.690089,17.476807,0.974996,3.361277,26.947126,0.960652,3.263847,27.586544,0.959900
127,8.39e-09,17.233773,2.660195,17.233772,0.975344,3.360662,26.940418,0.960662,3.263328,27.578447,0.959912
128,8.39e-09,17.818385,2.743006,17.818386,0.974507,3.359631,26.927229,0.960681,3.262383,27.563118,0.959934
129,8.39e-09,17.611994,2.711025,17.611994,0.974802,3.359576,26.926777,0.960681,3.262301,27.561554,0.959936
130,8.39e-09,18.544223,2.773855,18.544224,0.973469,3.359538,26.925709,0.960683,3.262259,27.561699,0.959936
131,8.39e-09,18.924047,2.801651,18.924047,0.972925,3.357963,26.906694,0.960711,3.260870,27.539253,0.959969
132,8.39e-09,18.248165,2.720804,18.248165,0.973892,3.359687,26.927513,0.960680,3.262330,27.562349,0.959935
133,8.39e-09,17.442370,2.694421,17.442369,0.975045,3.359268,26.923067,0.960687,3.261970,27.556292,0.959944
134,8.39e-09,18.045046,2.744583,18.045046,0.974183,3.358550,26.913544,0.960701,3.261253,27.544992,0.959960
135,8.39e-09,17.332700,2.676489,17.332701,0.975202,3.359109,26.920382,0.960691,3.261722,27.552393,0.959950
136,8.39e-09,18.162212,2.796233,18.162212,0.974015,3.358773,26.917572,0.960695,3.261544,27.549547,0.959954
137,8.39e-09,17.875902,2.719556,17.875902,0.974425,3.357631,26.904037,0.960715,3.260545,27.534046,0.959976
138,8.39e-09,17.284983,2.695973,17.284983,0.975270,3.357375,26.900040,0.960721,3.260257,27.528982,0.959984
139,8.39e-09,18.407597,2.728136,18.407597,0.973664,3.356663,26.889622,0.960736,3.259486,27.516647,0.960002
140,8.39e-09,18.128775,2.712007,18.128775,0.974063,3.356519,26.887953,0.960738,3.259401,27.515348,0.960003
141,8.39e-09,17.459495,2.717014,17.459496,0.975021,3.356075,26.882427,0.960746,3.258991,27.509293,0.960012
142,8.39e-09,18.000063,2.733187,18.000063,0.974247,3.357138,26.895689,0.960727,3.259972,27.524822,0.959990
143,8.39e-09,18.201913,2.736293,18.201914,0.973958,3.356029,26.881964,0.960747,3.258967,27.508900,0.960013
144,8.39e-09,17.799540,2.717602,17.799540,0.974534,3.356135,26.883072,0.960745,3.258996,27.509596,0.960012
145,8.39e-09,18.377066,2.763747,18.377066,0.973708,3.356812,26.891943,0.960732,3.259656,27.519770,0.959997
146,8.39e-09,18.620718,2.770428,18.620718,0.973359,3.358680,26.915884,0.960697,3.261305,27.546389,0.959958
147,8.39e-09,18.183601,2.752542,18.183601,0.973985,3.357368,26.899595,0.960721,3.260195,27.528305,0.959985
148,8.39e-09,17.909243,2.710957,17.909243,0.974377,3.358648,26.916035,0.960697,3.261299,27.546591,0.959958
149,8.39e-09,18.184271,2.760835,18.184271,0.973984,3.358386,26.912672,0.960702,3.261061,27.542519,0.959964
150,8.39e-09,18.527658,2.763206,18.527658,0.973492,3.358648,26.915686,0.960698,3.261302,27.545992,0.959959
