epoch,lr,train_loss,train_mae,train_mse,train_r2,val_mae,val_mse,val_r2,test_mae,test_mse,test_r2
92,5.24e-08,7.999417,1.867189,7.999417,0.988555,3.290521,29.849497,0.956414,3.151692,26.295731,0.961776
93,5.24e-08,8.032736,1.849821,8.032736,0.988508,3.289992,29.848566,0.956415,3.151176,26.291010,0.961783
94,5.24e-08,8.188351,1.884791,8.188351,0.988285,3.290675,29.858438,0.956401,3.151213,26.300301,0.961770
95,5.24e-08,8.096981,1.861454,8.096981,0.988416,3.289019,29.843231,0.956423,3.150805,26.285004,0.961792
96,2.10e-08,8.114485,1.868275,8.114484,0.988391,3.288683,29.840452,0.956427,3.150525,26.283617,0.961794
97,2.10e-08,8.165656,1.879784,8.165657,0.988317,3.288038,29.836056,0.956433,3.150225,26.277822,0.961802
98,2.10e-08,8.255892,1.894382,8.255892,0.988188,3.288668,29.840864,0.956426,3.150606,26.282240,0.961796
99,2.10e-08,8.051065,1.843180,8.051065,0.988481,3.287303,29.831699,0.956440,3.149867,26.272455,0.961810
100,2.10e-08,8.058053,1.860372,8.058053,0.988471,3.287434,29.832275,0.956439,3.150028,26.273262,0.961809
101,8.39e-09,8.276315,1.874652,8.276315,0.988159,3.288484,29.838017,0.956430,3.150723,26.280315,0.961799
102,8.39e-09,7.610881,1.808417,7.610881,0.989111,3.288242,29.835794,0.956434,3.150634,26.278410,0.961802
103,8.39e-09,7.915779,1.848546,7.915780,0.988675,3.288452,29.837660,0.956431,3.150729,26.280457,0.961799
104,8.39e-09,8.060568,1.852311,8.060568,0.988468,3.288458,29.837896,0.956431,3.150740,26.280243,0.961799
105,8.39e-09,8.174427,1.865666,8.174427,0.988305,3.288320,29.836857,0.956432,3.150638,26.278515,0.961801
106,8.39e-09,7.934951,1.856571,7.934950,0.988647,3.288132,29.835941,0.956434,3.150467,26.277840,0.961802
107,8.39e-09,7.902157,1.846170,7.902158,0.988694,3.288589,29.840023,0.956428,3.150582,26.282211,0.961796
108,8.39e-09,7.943283,1.848507,7.943283,0.988635,3.288588,29.839924,0.956428,3.150628,26.282181,0.961796
109,8.39e-09,8.124124,1.870745,8.124124,0.988377,3.288578,29.840816,0.956426,3.150533,26.282183,0.961796
110,8.39e-09,7.828298,1.830988,7.828298,0.988800,3.288844,29.843369,0.956423,3.150640,26.284790,0.961792
111,8.39e-09,7.863661,1.839425,7.863660,0.988749,3.289615,29.850204,0.956413,3.150973,26.291611,0.961782
112,8.39e-09,7.888224,1.846754,7.888223,0.988714,3.288951,29.844780,0.956421,3.150640,26.286196,0.961790
113,8.39e-09,7.840927,1.846300,7.840927,0.988782,3.289687,29.850424,0.956412,3.151031,26.292881,0.961780
114,8.39e-09,7.946730,1.856412,7.946731,0.988631,3.290007,29.853006,0.956409,3.151185,26.295774,0.961776
115,8.39e-09,7.916996,1.853369,7.916996,0.988673,3.289257,29.847351,0.956417,3.150793,26.289551,0.961785
116,8.39e-09,8.131022,1.898731,8.131022,0.988367,3.289965,29.853224,0.956408,3.151134,26.295961,0.961776
117,8.39e-09,7.939672,1.843173,7.939672,0.988641,3.290258,29.854523,0.956406,3.151373,26.297773,0.961773
118,8.39e-09,7.979564,1.844763,7.979564,0.988584,3.290615,29.856504,0.956403,3.151599,26.300489,0.961769
119,8.39e-09,8.114124,1.876232,8.114123,0.988391,3.291644,29.863808,0.956393,3.152215,26.308439,0.961758
120,8.39e-09,7.973539,1.855274,7.973538,0.988592,3.291153,29.859898,0.956399,3.151946,26.304628,0.961763
121,8.39e-09,7.806794,1.840518,7.806795,0.988831,3.290491,29.854410,0.956407,3.151607,26.298798,0.961772
122,8.39e-09,8.242192,1.857048,8.242192,0.988208,3.290255,29.852646,0.956409,3.151475,26.297241,0.961774
123,8.39e-09,8.199166,1.883832,8.199165,0.988269,3.290617,29.855608,0.956405,3.151665,26.301043,0.961769
124,8.39e-09,8.409902,1.897113,8.409903,0.987968,3.291384,29.861666,0.956396,3.152045,26.307875,0.961759
125,8.39e-09,8.108666,1.865296,8.108666,0.988399,3.290570,29.855064,0.956406,3.151629,26.300039,0.961770
126,8.39e-09,8.233177,1.878286,8.233177,0.988221,3.290877,29.857805,0.956402,3.151745,26.302956,0.961766
127,8.39e-09,8.189641,1.875891,8.189641,0.988283,3.290794,29.857035,0.956403,3.151704,26.301876,0.961767
128,8.39e-09,8.200614,1.875699,8.200614,0.988267,3.290555,29.855614,0.956405,3.151537,26.300039,0.961770
